Multiple occupations for one geographical area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Area:National,,,,,,,,,,,,,,,
Period:May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
Log Graders and Scalers(454023),        3640,         6.4,       22.65,       47120,         1.6,       15.90,       18.26,       21.93,       26.49,       29.98,       33060,       37970,       45600,       55100,       62360
"Logging Workers, All Other(454029)",        2540,         8.2,       25.46,       52950,         1.9,       16.60,       19.50,       25.23,       29.77,       34.08,       34520,       40560,       52480,       61930,       70890
Construction and Extraction Occupations(470000),     6225630,         0.6,       29.57,       61500,         0.3,       17.49,       21.26,       26.77,       35.94,       46.97,       36380,       44220,       55680,       74750,       97700
First-Line Supervisors of Construction Trades and Extraction Workers(471011),      777420,         0.5,       39.11,       81340,         0.3,       23.76,       29.26,       36.90,       47.00,       58.78,       49420,       60870,       76760,       97750,      122260
Construction Trades Workers(472000),     4588620,         0.6,       28.53,       59350,         0.3,       17.40,       20.81,       25.00,       33.95,       45.00,       36190,       43290,       52000,       70620,       93600
Boilermakers(472011),       11130,         4.6,       35.50,       73840,         1.7,       23.81,       29.43,       34.20,       41.00,       49.10,       49510,       61220,       71140,       85270,      102120
"Brickmasons, Blockmasons, and Stonemasons(472020)",       66630,         1.8,       30.04,       62470,         0.7,       18.32,       22.94,       28.27,       35.71,       44.10,       38100,       47710,       58810,       74270,       91720
Brickmasons and Blockmasons(472021),       56830,         2.0,       30.50,       63430,         0.8,       18.44,       23.20,       28.67,       36.01,       45.30,       38360,       48250,       59640,       74900,       94220
Stonemasons(472022),        9790,         5.7,       27.37,       56930,         1.6,       17.56,       22.09,       24.92,       31.11,       38.87,       36530,       45940,       51830,       64700,       80850
Carpenters(472031),      700290,         1.9,       29.31,       60970,         0.4,       18.00,       22.18,       27.09,       34.75,       45.47,       37440,       46130,       56350,       72290,       94580
"Carpet, Floor, and Tile Installers and Finishers(472040)",       88200,         3.0,       26.05,       54190,         1.6,       15.93,       18.59,       23.41,       30.10,       39.18,       33120,       38670,       48690,       62600,       81500
Carpet Installers(472041),       15560,         4.7,       25.14,       52290,         1.9,       14.98,       17.76,       22.85,       29.60,       38.78,       31160,       36930,       47520,       61580,       80650
"Floor Layers, Except Carpet, Wood, and Hard Tiles(472042)",       25150,         4.0,       27.25,       56680,         1.5,       16.99,       19.63,       23.48,       31.81,       44.15,       35340,       40840,       48840,       66170,       91840
Floor Sanders and Finishers(472043),        5070,         7.6,       24.00,       49910,         2.0,       15.91,       18.53,       22.96,       27.66,       33.43,       33080,       38530,       47760,       57520,       69540
Tile and Stone Setters(472044),       42420,         5.6,       25.92,       53920,         3.1,       15.93,       18.43,       23.52,       29.92,       38.48,       33120,       38330,       48910,       62230,       80030
"Cement Masons, Concrete Finishers, and Terrazzo Workers(472050)",      205010,         1.2,       27.59,       57390,         0.6,       18.00,       21.48,       24.38,       30.64,       40.16,       37440,       44680,       50710,       63720,       83540
Cement Masons and Concrete Finishers(472051),      203560,         1.3,       27.60,       57410,         0.6,       18.00,       21.49,       24.38,       30.65,       40.18,       37440,       44690,       50720,       63750,       83580
Terrazzo Workers and Finishers(472053),        1460,        21.7,       26.07,       54220,         6.2,       16.82,       18.75,       23.51,       29.00,       37.80,       34990,       39010,       48900,       60320,       78610
Construction Laborers(472061),     1019090,         1.3,       23.69,       49280,         0.4,       15.15,       17.82,       21.78,       27.30,       36.54,       31510,       37070,       45300,       56780,       76010
Construction Equipment Operators(472070),      496460,         0.9,       29.63,       61620,         0.3,       18.37,       22.12,       26.57,       34.69,       45.58,       38200,       46020,       55270,       72160,       94800
"Paving, Surfacing, and Tamping Equipment Operators(472071)",       43080,         2.9,       26.53,       55170,         0.9,       17.54,       20.00,       23.55,       30.00,       39.29,       36470,       41600,       48980,       62400,       81730
Pile Driver Operators(472072),        3010,         7.7,       33.78,       70260,         3.7,       19.64,       23.74,       30.55,       43.97,       52.42,       40840,       49370,       63550,       91460,      109030
Operating Engineers and Other Construction Equipment Operators(472073),      450370,         0.8,       29.89,       62180,         0.3,       18.47,       22.25,       27.00,       35.08,       45.95,       38410,       46270,       56160,       72970,       95570
"Drywall Installers, Ceiling Tile Installers, and Tapers(472080)",      106420,         1.7,       30.11,       62620,         1.1,       17.94,       22.32,       27.41,       35.67,       49.66,       37300,       46430,       57010,       74200,      103290
Drywall and Ceiling Tile Installers(472081),       90860,         1.7,       29.56,       61480,         1.0,       17.66,       22.05,       26.78,       34.51,       49.67,       36730,       45860,       55700,       71780,      103310
Tapers(472082),       15560,         5.3,       33.32,       69300,         2.3,       21.09,       25.00,       30.46,       40.68,       49.58,       43870,       52000,       63350,       84610,      103130
Electricians(472111),      712580,         0.6,       32.60,       67810,         0.4,       18.49,       23.13,       29.61,       38.59,       50.09,       38470,       48100,       61590,       80260,      104180
Glaziers(472121),       53390,         4.8,       28.04,       58320,         1.1,       17.52,       21.08,       24.57,       31.00,       46.65,       36440,       43840,       51100,       64470,       97030
Insulation Workers(472130),       61360,         2.3,       26.55,       55230,         0.9,       16.92,       19.41,       23.72,       30.30,       39.38,       35200,       40370,       49350,       63020,       81910
"Insulation Workers, Floor, Ceiling, and Wall(472131)",       38510,         2.8,       25.04,       52080,         1.1,       15.97,       18.43,       22.86,       29.09,       37.50,       33210,       38330,       47540,       60510,       78000
